Event Name or Other Category,Host Team,Speaker,Location,Event Category/Type,Date,Time start,Time end
"What's new with PowerMax: Enhancements to boost automation, efficiency and security",Events,Todd Toles;,San Polo 3505-3506,Breakout,5/21/2024,12:00:00 PM,1:00:00 PM
Charting the Generative AI landscape in healthcare,Events,Alex Long;George Morris;Jonathan Huang,Marcello 4403-4404,Breakout,5/20/2024,4:30:00 PM,5:30:00 PM
GenAI in the real world: How different industries are generating value today,Events,Wayne Arvidson;Nigel Steyn,San Polo 3403-3404,Breakout,5/22/2024,1:30:00 PM,2:30:00 PM
Manufacturing and energy: Navigate the Generative AI revolution,Events,Todd Edmunds;David Holmes,Lido 3003-3104,Breakout,5/22/2024,12:00:00 PM,1:00:00 PM
Embrace advanced IT modernization using Dell VxRail leveraging VMware innovations,Events,Ash McCarty;Doug Baker,Marcello 4401-4502,Breakout,5/20/2024,1:30:00 PM,2:30:00 PM
Getting the most from your Generative AI strategy,Events,Nick Brackney;Sharon Maher,Murano 3304-3305,Breakout,5/21/2024,12:00:00 PM,1:00:00 PM
Right-size your AI strategy with the Dell AI Factory,Events,Nick Brackney;John Lockman,Murano 3304-3305,Breakout,5/22/2024,12:00:00 PM,1:00:00 PM
Rein-in your multicloud costs and simplify your deployment with Dell APEX,Events,Fuzz Hussain;Matt Thompson;Robert F. Sonders,Lido 3003-3104,Breakout,5/20/2024,4:30:00 PM,5:30:00 PM
Navigating the AI PC revolution,Events,Marc Hammons;JP Glick;Amit Sawhney;Maria Renton Abu,San Polo 3403-3404,Breakout,5/20/2024,12:00:00 PM,1:00:00 PM
Jumpstart your AI initiatives with AI-ready workstations,Events,Charlie Walker;Ken Glass;Bethan Williams;Seth Sweetin,Marcello 4403-4404,Breakout,5/20/2024,1:30:00 PM,2:30:00 PM
How to improve the security posture of virtual workspaces with thin clients,Events,Robert Gunyon;Mike Jacobs;Harry Zwez;Mike Zvolanek,San Polo 3405-3406,Breakout,5/21/2024,1:30:00 AM,2:30:00 AM
Combat cyber threats with integrated endpoint security and manageability,Events,JR Balaji;Janani Nagarajan;Todd Cramer,San Polo 3505-3506,Breakout,5/21/2024,1:30:00 AM,2:30:00 AM
PowerFlex: Learn best practices to deliver IaaS using infrastructure as code,Events,Brian Dean;Parasar Kodati,San Polo 3503-3504,Breakout,5/22/2024,1:30:00 AM,2:30:00 AM
Revolutionizing data analytics with PowerFlex and NVIDIA AI Enterprise,Events,Rocio Sanchez,Marcello 4405-4506,Breakout,5/20/2024,1:30:00 PM,2:30:00 PM
Generative AI model development: Using Llama 2 with PowerEdge and PowerScale,Events,Ananta Nair,Lido 3005-3106,Breakout,5/20/2024,4:30:00 PM,5:30:00 PM
Best practices for building your AI Factory,Events,Bethan Williams;Scott Bils;Jaynene Hapanowicz,San Polo 3505-3506,Breakout,5/20/2024,1:30:00 AM,2:30:00 AM
Capitalize on the intersection of AI and quantum computing,Events,Burns Healy;Ben Santaus,Marcello 4503-4504,Breakout,5/22/2024,1:30:00 PM,2:30:00 PM
The Web3 wave: A practical guide for enterprises,Events,David Frattura,Palazzo E,Breakout,5/20/2024,12:00:00 PM,1:00:00 PM
Create a digital assistant with Dell APEX Cloud Platform and Red Hat OpenShift AI,Events,Michael Wells,Delfino 4101-4102,Breakout,5/22/2024,1:30:00 PM,2:30:00 PM
